Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
The number game,10,10.00%,1.4
The parrot with a broken beak,10,20.00%,1.6
The Parrot with a Broken Beak,10,0.00%,2.1
The rase,10,10.00%,2.7
The Roti Roll,10,0.00%,2.2
The sea,10,0.00%,1.7
The shape song,10,0.00%,2.6
the special nest,10,20.00%,1.4
the story of rain,10,10.00%,1.8
The Storybook Princess,10,0.00%,3.6
The tale of toilet,10,20.00%,2.8
the tall mango tree,10,20.00%,0.9
The tiger and the villagers,10,0.00%,4.6
the tiger is here,10,0.00%,3.1
The trouble with trouble,10,20.00%,1.8
the ugly duckling,10,20.00%,1.7
the village leader,10,0.00%,1.8
the village of five poles,10,0.00%,9.9
the visit to the dentist,10,40.00%,1
the wizard of oz,10,50.00%,0.2
this and these,10,20.00%,1.4
Three kittens,10,10.00%,1.6
tibetan story,10,90.00%,1.5
tina and the stars,10,30.00%,4.1
Ting ping,10,30.00%,2
Toddler,10,30.00%,2.6
too big too smal,10,0.00%,1.2
Toothache,10,10.00%,1.6
Topsy,10,20.00%,2.3
town,10,0.00%,3.1
Tractor Gets Help,10,0.00%,0.9
Trisha Bhandoola,10,10.00%,5.3
trop de bruit,10,10.00%,1.6
trouble,10,10.00%,3.4
trust,10,30.00%,3.4
Tulika,10,10.00%,1.5
turtle dove,10,10.00%,1.8
Two sons,10,10.00%,3.2
types of plants,10,40.00%,0.9
Umbrella for druvi,10,30.00%,1.4
Unni wish,10,10.00%,3.4
up and down,10,20.00%,1.2
up down,10,10.00%,1.8
Urdu books,10,10.00%,17
Uses of water,10,10.00%,4.7
vanavil sambar,10,0.00%,6.8
vegetable market,10,10.00%,4.8
Wangari,10,20.00%,5.3
Wash,10,10.00%,1.4
Washing,10,20.00%,4.2
watch,10,20.00%,0.3
water conservation,10,20.00%,1.9
Water park,10,0.00%,5.3
water snake,10,10.00%,1
Weaning,10,100.00%,0.1
What did priya eat,10,40.00%,1.3
what does Anu see,10,20.00%,1.4
What does any see,10,0.00%,2.5
what happens when you flush,10,0.00%,1.1
What is neema eating,10,10.00%,2.7
what is that,10,0.00%,7.1
what's neema,10,10.00%,1.6
what's the smell,10,10.00%,5.5
whats Neema eating today,10,40.00%,1.6
When the,10,40.00%,3
where is amma,10,10.00%,0.6
Where is amma,10,30.00%,1.2
Who am i,10,20.00%,4.1
who ate all that up?,10,0.00%,1.4
Who's that baby,10,20.00%,4.1
why do sunbirds,10,0.00%,3
Why do sunflower love the sun,10,20.00%,1.7
Why don't birds comb their hair,10,40.00%,2.7
why is Nita upside down,10,0.00%,1.6
"Why, Oh Why!",10,0.00%,2.9
yah bhi khaoon vah bhi khaoon,10,70.00%,1.3
Yak,10,0.00%,0.2
youtube,10,10.00%,3.5
Yoyo,10,10.00%,1.4
zanele,10,30.00%,1.5
आध्मादतक मछली और ज्वार ताल,10,0.00%,2.4
कविता,10,0.00%,12
कागभगोड़े की ठिठोली,10,0.00%,2.2
क्या देखती है अनु,10,40.00%,3.6
चालाक आलु,10,0.00%,1.4
जंगल का रोमांच,10,0.00%,4.6
दिवाली,10,0.00%,3.4
दौड़,10,20.00%,2.4
निमोण,10,70.00%,0.9
पतंग,10,10.00%,3
पानी,10,10.00%,3.5
पिल्लू मासा फुगला,10,10.00%,2.8
बादशाही पार्क,10,20.00%,1.8
मी सापडणारच नाही तुम्हाला,10,50.00%,2.4
मुझे खोज कर दिखाओ!,10,20.00%,3.4
मेड इन इंडिया,10,40.00%,6.9
मेरे दोस्त,10,30.00%,2.5
वाघोबा ची स्वाँरी,10,80.00%,0.9
हवा,10,20.00%,2.2
123 count the beetles,9,55.56%,1
15th august,9,11.11%,0.89
A book for puchuku,9,0.00%,1
a dancer's tale,9,11.11%,1.67
a dancers tale,9,0.00%,3.22
A Fish and a Gift,9,0.00%,3.44
a forest adventure,9,0.00%,3.33
A little help for cumulo,9,0.00%,2.44
a song of personal space,9,0.00%,1.89
A Sweet Apple,9,0.00%,3.11
A Tiny Seed: The Story of Wangari Maathai,9,11.11%,1.78
aadhya,9,0.00%,4.67
aaloo-maaloo-kaaloo,9,11.11%,6.44
aboard,9,0.00%,1.11
Aboli,9,0.00%,23.56
about myself,9,0.00%,6.22
accidents,9,11.11%,3
Action words,9,0.00%,3.67
add,9,11.11%,1.22
Advaith,9,0.00%,4.11
african culture,9,0.00%,1.33
Ah football,9,33.33%,3.11
aiman's school bag,9,0.00%,2.67
airoplane,9,0.00%,1.89
Ajanta Guhathakurta,9,11.11%,3.56
ajji,9,0.00%,1.11
akilan,9,44.44%,1.78
aku,9,11.11%,1.11
Aladin,9,44.44%,2.44
Alice,9,11.11%,0.78
All Stories,9,11.11%,2.44
Allons récolter des graines,9,55.56%,0.78
amachi's amazing machines,9,0.00%,2.67
Amara and animals,9,22.22%,1.44
ami,9,0.00%,2
amicizia,9,11.11%,7.22
Amina,9,0.00%,2.33
Amma there is a bat in my sambar,9,11.11%,3.22
Ammachi incredible investigation,9,11.11%,1.22
Ammachi machines,9,33.33%,1.89
Ammachi's Amazing machines,9,11.11%,4
ammachi's glasses,9,0.00%,4.33
ammachis amazing machine,9,11.11%,1.44
an amazing world,9,11.11%,4.67
Anansi gives people stories,9,0.00%,1.67
anaya,9,0.00%,1.56
and also,9,0.00%,2
Ang aking guro,9,0.00%,1.11
Ang araw na umulan ng isda,9,11.11%,0.89
ang leon na ayaw makipaglaro,9,11.11%,2.33
ang mga bituin ni tala,9,11.11%,0.67
ang nawawala kong laruan,9,0.00%,1
Ang salamin ni lola,9,11.11%,2.33
angi and monkey,9,0.00%,3.89
angles,9,11.11%,2.11
animal symphony,9,0.00%,2
Animals and their homes,9,11.11%,3.11
anjora,9,0.00%,2.89
Anna's,9,11.11%,1.56
annual hair cut day once again,9,11.11%,3.78
ant and grasshopper,9,22.22%,0.67
apu,9,0.00%,1.78
Arabic stories,9,0.00%,3.67
archer,9,22.22%,1
Are you the woodpecker,9,0.00%,2.78
area,9,22.22%,1.22
Around the World with a Chilli,9,0.00%,1.67
Art and craft,9,33.33%,6.56
artist,9,22.22%,2.56
Asamo,9,22.22%,1.44
Ata nahi,9,0.00%,1.33
avni aur matar ka paudha,9,22.22%,1.22
Bahasa,9,11.11%,2.33
bakery,9,11.11%,2.44
Bakery,9,0.00%,1.44
baking,9,0.00%,2.44
Ballet,9,0.00%,2.67
Balvir,9,100.00%,0
bank,9,44.44%,0.67
bapu,9,11.11%,0.78
Bath,9,0.00%,1.44
bath time for chunnu and munnu,9,22.22%,2.78
bathing,9,11.11%,1.44
bathroom,9,11.11%,2
bathtub safari,9,0.00%,1.89
Bb,9,22.22%,1.56
bear goes fishing,9,22.22%,1.33
Bear story,9,11.11%,2.89
beautiful,9,11.11%,1.78
beautiful butterfly,9,33.33%,3.89
bebcvd,9,100.00%,0
Bed,9,11.11%,3
bedtime,9,0.00%,1.89
bee not so busy,9,33.33%,1.22
bell,9,0.00%,1
Belly monster,9,11.11%,2.33
Ben 10,9,22.22%,1.33
Best friends and the ice cream,9,33.33%,2.67
Bhavika,9,55.56%,0.33
Bheem gadha,9,22.22%,1.89
bheema the sleepy,9,11.11%,1.44
bibili kami ng aklat,9,22.22%,1.22
billi,9,11.11%,6.11
binty,9,0.00%,6
birthday chocolate,9,0.00%,3.67
Blast off,9,0.00%,2.67
bloody adventure,9,11.11%,2.11
Bobo,9,11.11%,1.33
Body friends,9,0.00%,2.33
body systems,9,22.22%,1.78
bombay,9,22.22%,2
Bombay Ducks Bombay Docks,9,0.00%,0.67
Bondapalli,9,22.22%,1.56
bored,9,33.33%,2.56
brahan,9,0.00%,8.11
brush teeth,9,0.00%,2.11
bug,9,11.11%,3.89
Building the building,9,11.11%,3.44
Bullying,9,33.33%,2.22
c'est de la faute du chat,9,11.11%,2.89
c'est mon poisson,9,22.22%,2.11
Calendar,9,0.00%,2.33
Canato,9,33.33%,2.56
canato jimo,9,0.00%,5.67
carona,9,22.22%,3.22
Case of missing water,9,22.22%,3.11
castle,9,22.22%,1.33
cat and dog,9,11.11%,4.56
Cat stories,9,0.00%,4.22
caterpiller,9,0.00%,0.78
catterpillar,9,11.11%,4.78
centipede,9,22.22%,1
Centipede,9,11.11%,2
chaddihead,9,0.00%,3.11
Chakachak Cheeku,9,0.00%,1.89
Chalta pahad,9,0.00%,1.33
chand aur suraj,9,11.11%,3.11
chantons sous la pluie,9,22.22%,0.67
chapati,9,0.00%,3
Chapati,9,0.00%,3.78
chapter books,9,0.00%,2.11
Chatino,9,66.67%,1
Cheenu's gift,9,0.00%,4.56
cheenus gift,9,0.00%,2.67
Cheryl rao,9,22.22%,0.78
Chhutti,9,0.00%,1.78
child labour,9,33.33%,2.44
Chipko movement,9,33.33%,2.56
Chius power,9,22.22%,2.33
choices,9,55.56%,1.67
chotta bheem,9,33.33%,6.56
chuchu manthu's jar of toffees,9,22.22%,1.56
Chuk chuk,9,11.11%,1.78
chuk chuk chuk,9,0.00%,1.33
chulbul ki poonch,9,11.11%,1.56
chunu munnu,9,22.22%,1.56
circle shape,9,0.00%,2.11
cities,9,22.22%,4.44
class,9,22.22%,3.56
cleaniness,9,11.11%,7.78
Cleaniness,9,11.11%,3.56
CLOTHES,9,22.22%,2.78
clothing,9,44.44%,3
cloud ice cream,9,0.00%,1.89
Cloud ice cream,9,11.11%,3.33
Cloud icecream,9,33.33%,1.56
clown,9,22.22%,1.11
COLOURS,9,11.11%,3.56
Come back my babies,9,0.00%,1.78
comedy stories,9,55.56%,1.44
Compost,9,0.00%,2.78
constitution,9,22.22%,3.56
Continents,9,44.44%,2
Corona Virus,9,11.11%,5.78
Coronavirus novel,9,88.89%,0.22
count with me,9,11.11%,2.11
Cow must moo,9,0.00%,2
Cracking the Code: Women Who Have Changed the Way We Look at Computers,9,0.00%,1.56
crayon,9,11.11%,1.22
Cricket stories,9,44.44%,1.44
crops,9,22.22%,2.56
crow and snake,9,0.00%,8.44
crow and sparrow,9,11.11%,2.56
Cyclone,9,22.22%,3.67
daddy mo,9,0.00%,1.78
dancer,9,11.11%,3.89
Daud,9,33.33%,2.56
days of week,9,33.33%,1.22
Deepa karmakar,9,11.11%,1.22
deforestation,9,22.22%,1.56
delhi,9,22.22%,0.89
Delhi,9,22.22%,3.22
Desert habitat,9,77.78%,0.67
dessert,9,22.22%,1.22
Deutsch,9,0.00%,1.11
Dev,9,22.22%,3.22
devaganga,9,0.00%,2.89
devs day at the zoo,9,11.11%,2.78
dhruvi,9,11.11%,2
dibba party,9,0.00%,2.33
Dinosaure,9,33.33%,3.22
dinosaures,9,33.33%,2.44
DINOSAURS,9,11.11%,2.44
divya,9,0.00%,2.89
Doctors,9,11.11%,2.56
Don't wake the baby,9,44.44%,3
dont wake the baby,9,0.00%,1.22
doraemon,9,0.00%,0.89
Doremon,9,22.22%,2
download books,9,0.00%,4.89
Dr suess,9,55.56%,1
Dragons,9,22.22%,2.56
Drama,9,33.33%,2.33
Dreamy antartica,9,77.78%,0.11
Drip-Drop-Drip,9,0.00%,3.78
Easter,9,22.22%,2.11
école,9,22.22%,3.33
Ek Jesse ya alag alag,9,11.11%,3.22
Ek safar ek khel,9,0.00%,2.44
Elephant and chameleon,9,11.11%,0.89
Elephant and rabbit,9,22.22%,3.56
elizabeth,9,33.33%,1.44
english class and the missing student,9,22.22%,3
English grammar,9,0.00%,9.11
English Level 4,9,66.67%,1
english level4,9,55.56%,0.78
English moral stories,9,33.33%,2.56
English stories for kids,9,0.00%,3.11
English stories level 3,9,11.11%,4.44
eric carle,9,33.33%,6.67
experiment,9,0.00%,1.44
Fairy tail,9,0.00%,9.22
fairytale,9,11.11%,4
Fairytale,9,11.11%,2
family time,9,11.11%,1.56
Family tree,9,11.11%,1.89
Fana and her animals,9,0.00%,0.89
fat king thin dog english,9,0.00%,2.11
Father son and donkey,9,44.44%,6.44
Feathered Friends,9,0.00%,2.33
Feet,9,0.00%,2.33
fire! fire!,9,11.11%,1.44
first day to school,9,11.11%,4.11
flight,9,33.33%,2.67
Food and nutrition,9,77.78%,5.22
food groups,9,22.22%,2
food story,9,0.00%,2
forgiveness,9,44.44%,1.33
Fox and the grapes,9,22.22%,1.33
Foxy Joxy Plays a Trick,9,11.11%,0.89
Friends Under the Summer Sun,9,11.11%,1
Friendship always wins,9,0.00%,4.78
Friendship Land,9,0.00%,2.11
Frogs bright idea,9,11.11%,2.22
Fruit salad,9,33.33%,1.33
Fruits of freedom,9,11.11%,2.89
Fruits story,9,11.11%,4.67
fun with the ball,9,22.22%,1.11
Gajapathi kulapathi,9,0.00%,3.89
Ganesha story,9,22.22%,1.56
gapu cant dance english,9,11.11%,2.44
gardening,9,22.22%,2.78
gauri,9,22.22%,5
germs are not for sharing,9,11.11%,1.67
Geronimo silton,9,44.44%,3.67
Get down,9,0.00%,2.89
ghariyal,9,0.00%,1
gillu,9,0.00%,9.11
Girl who cannot stop laughing,9,11.11%,5.67
Girl who couldn't stop laughing,9,0.00%,2.44
Girls,9,0.00%,3.22
go green,9,22.22%,3.56
goal,9,0.00%,1.33
Goat english,9,0.00%,1.11
"goat, dog and cow",9,11.11%,6.22
Goby's noisy best friend,9,0.00%,4.11
gods,9,11.11%,1.11
Gohst,9,0.00%,1.56
Going to Market,9,22.22%,0.89
going to school,9,0.00%,3.89
Going to school,9,11.11%,4
going to the market,9,0.00%,2.22
Goldfish junior,9,22.22%,2.22
golu the circle,9,22.22%,1.22
gond,9,33.33%,3
Good baby,9,22.22%,3.67
Good friend,9,11.11%,1.89
Good morning! good night,9,22.22%,1.11
good night,9,22.22%,3
good over evil,9,22.22%,1.56
Gorilla go to beach,9,11.11%,2.67
Gorillas Go to the Beach,9,11.11%,2.56
grand patch up,9,33.33%,2
Grandma Glasses,9,22.22%,2.67
Grandpa fish and the radio,9,22.22%,3.89
Granny,9,0.00%,3.44
greeny,9,33.33%,2.11
growing,9,22.22%,2.44
grumpus rumpus,9,11.11%,2.22
Gujapati kulapati,9,88.89%,0.22
Gul sa kalawakan,9,0.00%,1.33
gulli's,9,0.00%,1.44
gulli's box,9,11.11%,1
Gulli's Box Of Things,9,0.00%,2.56
Gully,9,0.00%,2.22
Habits,9,22.22%,4.22
hair cut day,9,0.00%,4
Hansel and Gretel,9,77.78%,0.56
happy children,9,22.22%,4.22
happy train,9,11.11%,1.56
Hashim saves mango,9,11.11%,1.78
Hauz Khas,9,11.11%,1.56
hava,9,22.22%,1.11
hearing,9,22.22%,1.56
Heat,9,11.11%,2.67
Hindi 1,9,0.00%,1.67
hindi readalong,9,0.00%,4.44
hindi story books,9,22.22%,7.78
Hobbies,9,33.33%,3.22
Hobby,9,0.00%,5.67
hole in the galaxy,9,0.00%,1.44
holidays with grandmother,9,11.11%,1.22
Honest,9,11.11%,1.67
horor,9,11.11%,3.89
horses,9,22.22%,1.22
hot and cold,9,44.44%,2.33
houses of animals,9,44.44%,0.89
how aeroplanes fly,9,0.00%,1.44
How ant saved dove,9,11.11%,6
how bittu,9,0.00%,2.22
How does the toothpaste get into the tube?,9,0.00%,4.67
how i like my rain,9,0.00%,3.78
how old is mutaji,9,11.11%,2.22
HOW OLD IS MUTTAJI,9,0.00%,1.11
How to solve a problem like Himani,9,11.11%,3.22
How to solve problems,9,77.78%,1.11
https://storyweaver.org.in/,9,44.44%,0.11
Humour,9,22.22%,6.11
hunter,9,0.00%,0.78
i am special,9,55.56%,1.44
I can count,9,11.11%,1
I can do,9,22.22%,1.22
i can draw anything,9,22.22%,2
I CAN HELP,9,0.00%,5.44
I can touch,9,11.11%,1.44
I don't want to go to sleep,9,22.22%,1.33
I got you,9,55.56%,2.78
i like me,9,22.22%,0.78
I Love Me,9,11.11%,0.67
I spy the lake,9,22.22%,2.11
I spy!,9,0.00%,2.67
I want to be a police officer,9,11.11%,0.78
I want to ride a motor bike,9,44.44%,1.33
Ikru's First Day of School,9,0.00%,2.44
injection,9,22.22%,3.22
INSECTS,9,0.00%,1.67
Insects and akshu,9,55.56%,1.11
Inside outside,9,22.22%,2.89
Inside the world wide web,9,0.00%,2.44
Investigation,9,0.00%,0.89
Invisible,9,11.11%,3.56
Ira investigates the invisible,9,33.33%,1.78
is there anyone,9,0.00%,3.44
it wasnt me,9,0.00%,3.89
It’s all the cat’s fault,9,11.11%,3.11
Its play time,9,44.44%,2.67
Jackal,9,0.00%,9.11
jadav ka jungle,9,22.22%,1
James and the giant peach,9,44.44%,1.33
Janice goes to chinatown,9,0.00%,1.89
Jasu loves football,9,11.11%,3.44
jealous,9,22.22%,4.89
Julia donaldson,9,11.11%,1.78
Juliette,9,100.00%,0
Kallu world,9,11.11%,2.67
kanna panna,9,33.33%,1.89
Kannada Stories,9,11.11%,2.11
Kannada Story,9,11.11%,2.33
Kappu can't dance,9,22.22%,4.78
Kardi,9,22.22%,2
kathadi,9,0.00%,3.44
Kathadi,9,22.22%,0.89
"Kaushik, the Kind Detective",9,22.22%,1.89
kavin,9,0.00%,0.78
kerala,9,0.00%,2.22
Khichdi,9,33.33%,3.44
khoya paaya,9,22.22%,0.78
kids stories,9,11.11%,0.78
Kindergarten stories,9,33.33%,3.78
king stories,9,11.11%,2.44
kissa kheer ka,9,0.00%,2.33
Kites in the sky,9,11.11%,1.56
Krish and corona,9,77.78%,1.11
Kurdish,9,22.22%,6.33
lal barsaati,9,0.00%,2
lala and the red turban,9,11.11%,1.56
landscape,9,33.33%,2.56
Languages,9,11.11%,8.56
Lara the ladybird,9,33.33%,4.22
Lara the yellow,9,0.00%,1.56
laya teacher,9,11.11%,4.11
leader,9,0.00%,1
leah,9,11.11%,6.11
lemonade,9,22.22%,2.89
Lemonade,9,0.00%,4.33
Lets count legs,9,55.56%,2.89
Letter A,9,11.11%,2.22
Letter a story,9,33.33%,0.89
letter b,9,11.11%,1.11
level 1 english books,9,22.22%,11.89
level 1 kannada stories,9,33.33%,1.44
level 2 english books,9,11.11%,4.22
LEVEL 3 ENGLISH,9,33.33%,1.78
level 3 hindi books,9,11.11%,1.78
level 3 tamil stories,9,0.00%,12.33
level 4 hindi,9,0.00%,1.89
Level1 stories,9,0.00%,3.44
lie,9,33.33%,1.56
Lilly,9,0.00%,7.44
lion shoes,9,33.33%,0.78
Lions,9,11.11%,1.67
Lions are always brave,9,44.44%,1.11
Lions howdah,9,33.33%,2.67
Listen to My Body,9,11.11%,2.33
Little krishna,9,11.11%,2.33
little monkey lost banana,9,11.11%,1.33
Little sock,9,0.00%,5.78
Login,9,55.56%,1.78
Londi,9,11.11%,6.78
Long and short,9,33.33%,2.11
long stories,9,22.22%,1.44
Long stories,9,22.22%,2.89
lord ganesha,9,22.22%,1.56
Lory dory,9,11.11%,3.22
Lost doll,9,11.11%,5.11
lotus,9,0.00%,0.78
Louse,9,11.11%,1.33
Lunch,9,22.22%,2.22
ma météo interne,9,66.67%,0.67
maa jaldi karo,9,0.00%,6
Macedonian,9,22.22%,2
Magic finger,9,22.22%,2.78
Magic stories,9,0.00%,4.78
magical fairy,9,11.11%,4.11
Magician,9,0.00%,2.78
magnifying glass,9,11.11%,1.33
majhe kutumb,9,22.22%,1.44
Makdi ki kahani,9,0.00%,0.78
MALARIA,9,0.00%,3.44
malay,9,22.22%,1.44
MALAYALAM,9,22.22%,1.44
Malu,9,22.22%,1.67
mamma,9,11.11%,4.44
mandarin,9,33.33%,3.67
Mandarin,9,22.22%,3
Manu Mixes Clay and Sunshine,9,11.11%,2.78
Marching for freedom,9,11.11%,1.78
market place,9,0.00%,3.44
Marvel,9,33.33%,1.22
Mary is sick,9,22.22%,1.33
math books,9,22.22%,2.56
Maths books,9,22.22%,6.56
maths story,9,33.33%,2.44
May Searches for the Sea,9,33.33%,1.33
Mayra in traffic,9,22.22%,1.44
maze kutumb,9,33.33%,0.78
Me sapadnar nahi,9,33.33%,2.89
Means of transport,9,33.33%,1.44
Medha Rajesh,9,11.11%,4.67
MERA GHAR,9,0.00%,3.56
meri machli,9,0.00%,1.78
mi casa,9,0.00%,2.22
mia,9,22.22%,2
Mirchi,9,22.22%,1.44
mission,9,11.11%,1.22
mission cycle grade 5,9,44.44%,0.44
misson cycle,9,44.44%,3.33
Modes of transport,9,22.22%,4
molada aduge kannada,9,44.44%,1
monkey and the crocodile,9,11.11%,3.22
monkey and the drought,9,33.33%,2
Monkey puzzle,9,33.33%,0.78
Monster stories,9,44.44%,2.67
Moral stories in English,9,55.56%,1.56
More mangoes,9,0.00%,3
Morning,9,22.22%,2.78
mosquito,9,22.22%,2
Mother Hen,9,0.00%,0.78
mother's day,9,22.22%,1.67
motivational,9,22.22%,4.44
motivational stories,9,11.11%,3.44
Motivational stories,9,33.33%,3.56
mouse in house,9,0.00%,0.89
multiply,9,33.33%,2
mummy glasses,9,22.22%,1.11
Mummy glasses,9,0.00%,3.22
Mummy's Glasses,9,11.11%,0.78
Musical instruments,9,0.00%,5.78
muslim,9,22.22%,1.78
My best freind,9,0.00%,3
My best magic show,9,44.44%,1
my diwali book,9,11.11%,0.22
My dream,9,22.22%,2.78
my fingers my hands,9,44.44%,2.44
My fish no my fish in english,9,88.89%,0.11
My garden story,9,11.11%,2.33
My hands,9,11.11%,5
my health my way,9,22.22%,2.22
My Juggling Granny,9,0.00%,4.22
My lovely doll,9,11.11%,6.89
My Sister and Me,9,0.00%,1.56
my stories,9,0.00%,4.78
my superhero,9,11.11%,1.44
my weird school,9,88.89%,1.22
Mystery of the cyber friend,9,22.22%,1.56
Mystry,9,22.22%,1.44
myth,9,22.22%,7.67
Myth,9,55.56%,0.67
na,9,0.00%,1.22
Nahuatl,9,44.44%,2.89
Namkeen kisse,9,66.67%,0.56
nangila,9,0.00%,11.33
Nani's glasses,9,0.00%,2.33
Nani's walk,9,22.22%,1.89
Navarathri,9,0.00%,2.89
Nawatl,9,0.00%,2.33
nayana and the not so scary owl,9,11.11%,0.44
nehru,9,11.11%,2.11
never give up,9,22.22%,1.11
New Arrivals,9,0.00%,0.89
Nin wants,9,33.33%,3.33
Ninja,9,22.22%,2
nishit chouhan,9,0.00%,4.11
no david,9,33.33%,0.67
no water,9,11.11%,1.67
noemi luciardi,9,0.00%,1.44
Notno,9,44.44%,2.78
now i've got you,9,11.11%,1.33
Nursery stories,9,22.22%,1.78
nutrition,9,0.00%,2.89
nuts,9,11.11%,1
office,9,0.00%,3.89
Oliver Twist,9,33.33%,2.33
One,9,11.11%,3.11
Only fools,9,11.11%,5.89
ORDER,9,11.11%,6
ordinal numbers,9,22.22%,1.22
otters,9,11.11%,1.56
Our school,9,0.00%,1.78
paani ka beej,9,22.22%,2.56
Pair,9,0.00%,3.22
pani,9,11.11%,0.89
Pani,9,11.11%,3
Panipuri inside a spaceship,9,11.11%,2.67
papa ki muche,9,22.22%,0.78
Papa ki muche,9,22.22%,3
Parag,9,0.00%,1.78
Parismita,9,33.33%,5
Parts of plants,9,11.11%,4
pattern detective,9,0.00%,3.44
Pattern detective,9,0.00%,2
pehelwaan,9,0.00%,3.33
Pehelwaan Ji Plays Cricket,9,0.00%,3.44
Pehelwanji,9,22.22%,1.22
phani,9,22.22%,1.22
phone stories,9,11.11%,10.89
pick it up,9,11.11%,2.78
Picture conversation,9,11.11%,2.22
picture description,9,11.11%,0.78
pigeon,9,22.22%,1.56
pipsqueak,9,0.00%,1.33
PLANTS,9,44.44%,0.89
plants and trees,9,0.00%,1.89
Plants and trees,9,11.11%,5.78
Play dough,9,22.22%,2.67
polite,9,11.11%,2
Polygon,9,0.00%,1.67
Poo poo monster,9,0.00%,1.56
pourquoi,9,0.00%,7.33
poverty,9,0.00%,2
Pre primary English 3 or 4 level stories,9,55.56%,0.56
Priya kurian,9,11.11%,3.89
puchkoo,9,11.11%,1.67
Puppy Hears a Noise,9,0.00%,4.56
Pure happiness,9,11.11%,1.67
Pussy cat mew,9,11.11%,1.78
puzzle,9,22.22%,1.67
Questions,9,44.44%,2.78
Rabbit become a chef,9,22.22%,2.89
Rain Rain,9,0.00%,1.22
Rainbow boy,9,0.00%,2
Rainbow Boys,9,0.00%,2
Rainbow samber,9,11.11%,2.44
Rajiv,9,0.00%,7.78
raju aur tarkari,9,11.11%,5.78
Ram and Shyam play cricket,9,22.22%,3.44
Rama Goes to Town,9,0.00%,2
rani's,9,0.00%,1.89
Rani's first day,9,0.00%,4.22
Rani’s first Day at School,9,22.22%,1.11
Rania and the Godavan Chick,9,11.11%,2.44
ranis first day,9,11.11%,1.33
Ranis first day oF school,9,11.11%,1.22
Readalong stories,9,0.00%,7
readaloud,9,0.00%,3.89
Rectangle,9,0.00%,3.11
Red colour,9,22.22%,1.56
Red jacket,9,0.00%,1.67
relationships,9,11.11%,2
Reptiles,9,11.11%,3.22
restaurant,9,11.11%,1.56
reuse,9,11.11%,1.33
Rhyming grandpa,9,11.11%,1.22
rima,9,11.11%,1.33
rithvik,9,0.00%,6.89
ritus letter gets longer,9,0.00%,3.22
Robin hood,9,0.00%,3.67
Rohan,9,11.11%,9.22
romanian,9,22.22%,4.22
Romanian,9,11.11%,1.78
Romeo and Juliet,9,0.00%,2
room on the broom,9,11.11%,0.56
Rose and Rocky,9,0.00%,1.33
Rose and Rocky go green,9,22.22%,1
roti gai roti aayi,9,22.22%,1.33
Run,9,0.00%,3.44
runaway pig,9,0.00%,1.44
Sabak,9,0.00%,1.89
Sabzpari's Jaltarang,9,0.00%,2.78
Sahil shaikh,9,88.89%,0.33
sailing ships and sinking spoon,9,11.11%,1.67
Sam Christmas,9,0.00%,1.33
sam's christmas,9,22.22%,1.22
Sam's Christmas,9,0.00%,7.78
sams,9,55.56%,0.22
Samudrabudi,9,33.33%,5.33
Santali,9,11.11%,2.11
saree,9,0.00%,2.44
satranga sambhar,9,22.22%,1.22
SATYA WATCH OUT,9,0.00%,1.22
save animals,9,22.22%,6.33
Saving the trees,9,11.11%,1.78
school is on fire,9,0.00%,1.44
School is on fire,9,33.33%,1.89
school ka pahla din,9,0.00%,2.89
School ka pahla din,9,11.11%,2.33
Science and nature,9,33.33%,3.89
sea creatures,9,0.00%,2.11
sea turtle,9,22.22%,4.78
See You Tomorrow,9,11.11%,2.78
seed bank,9,0.00%,2.22
Self,9,22.22%,5.22
self esteem,9,22.22%,1.56
senzo and the sun,9,0.00%,0.44
serpy snake,9,11.11%,0.56
shadows,9,22.22%,1.22
shanti ka mitra,9,11.11%,1.33
Shape story,9,0.00%,4.56
shapes stories,9,22.22%,2.67
Share it fair,9,0.00%,2.89
Sheep,9,22.22%,1.11
shell,9,11.11%,2.33
shh,9,11.11%,1.67
Shinchan,9,0.00%,1.67
shingeri,9,11.11%,0.78
shoe cat,9,22.22%,2.56
shoocat thoocat,9,11.11%,3
shrinivas,9,11.11%,2.11
si navy at si bora,9,11.11%,1
Si tommy at si tingu,9,0.00%,1.22
siddharth tanikella,9,0.00%,3.11
Siddhi,9,44.44%,1.78
sily joke,9,11.11%,3.44
Simple Counting,9,0.00%,2.33
singing in rain,9,22.22%,6.56
Singing in rain,9,11.11%,4.33
singular and plural,9,11.11%,1.33
siya gupta,9,22.22%,3.89
small stories,9,11.11%,1
small story,9,11.11%,2.33
Smart,9,22.22%,2.44
Snake story,9,22.22%,2.44
Sniff sniff,9,11.11%,1.44
So many bananas,9,22.22%,2.33
soap,9,33.33%,0.67
Soleil,9,33.33%,2.78
Sona badi sayani,9,33.33%,1
sooraj,9,0.00%,2.44
Spanish books,9,11.11%,4.33
Sport,9,11.11%,2.44
Spot and spike,9,0.00%,4.89
Spot!,9,0.00%,2.56
srigeri,9,0.00%,4.44
SRINGARI SRINIVAS,9,22.22%,2
Sringeri Srinivasan,9,11.11%,1.78
Sringeri sriniwas,9,11.11%,2.67
sringiri,9,22.22%,2.67
Stem stories,9,22.22%,6.22
Store,9,22.22%,1.22
Stores,9,0.00%,3.22
Stories in english,9,0.00%,6.11
